health_conditions,Financial_vul,living_alone,weight0,用途分类,Communication and social(emails),Communication and social( video calls),Communication and social(messaging),Communication and social( ),entertainment information(news),entertainment information(products),entertainment(games),entertainment(gaming),entertainment(music),entertainment(movies),entertainment(dating),utility (banking),utility (job),utility (Applying for benefits),utility (public service2),Other,None
Yes,,Yes,0.674042,通信社交,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No
No,,No,0.674042,通信社交,Yes,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No
Yes,Potentially,Yes,0.513666,通信社交,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No
Yes,Least,No,0.772714,无上网,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
No,Potentially,No,0.674042,通信社交,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,No
No,Least,Yes,0.674042,通信社交,Yes,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No
No,Potentially,No,0.772714,无上网, , , , , , , , , , , , , , , , , 
Yes,,No,0.513666,无上网, , , , , , , , , , , , , , , , , 
Yes,Most,Yes,0.674042,无上网, , , , , , , , , , , , , , , , , 
No,,Yes,0.674042,无上网, , , , , , , , , , , , , , , , , 
Yes,,No,0.772714,通信社交,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
Yes,,No,0.674042,无上网, , , , , , , , , , , , , , , , , 
No,Potentially,No,0.49761,无上网,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
No,Potentially,No,0.674042,无上网,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
No,Most,Yes,0.772714,无上网,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Yes,Least,Yes,0.334356,通信社交,Yes,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No
Yes,Potentially,No,0.772714,无上网,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
No,,No,0.49761,无上网, , , , , , , , , , , , , , , , , 
Yes,,No,0.772714,娱乐信息,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
Yes,,No,0.772714,通信社交,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No
No,,Yes,0.674042,通信社交,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
Yes,,Yes,0.772714,无上网, , , , , , , , , , , , , , , , , 
No,Potentially,No,0.772714,通信社交,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No
No,Potentially,Yes,0.772714,通信社交,Yes,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No
No,Most,No,0.513666,无上网, , , , , , , , , , , , , , , , , 
No,Potentially,No,0.513666,通信社交,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No
No,Potentially,Yes,0.334356,通信社交,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No
No,Potentially,No,0.334356,通信社交,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
No,,Yes,0.334356,通信社交,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
No,,Yes,0.772714,无上网, , , , , , , , , , , , , , , , , 
Yes,,Yes,0.334356,通信社交,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No
Yes,,No,0.513666,通信社交,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No
No,,No,0.513666,通信社交,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No
Yes,,Yes,0.334356,通信社交,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No
Yes,,No,0.416208,无上网, , , , , , , , , , , , , , , , , 
Yes,,Yes,0.772714,无上网, , , , , , , , , , , , , , , , , 
Yes,,Yes,0.674042,通信社交,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
No,,No,0.416208,通信社交,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No
Yes,,No,0.416208,无上网, , , , , , , , , , , , , , , , , 
Yes,,No,0.674042,无上网, , , , , , , , , , , , , , , , , 
Yes,,No,0.772714,通信社交,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No
