age_group,financial_vulnerability,internet_accessibility,socio_economic_grade,count
65+,High,Limited,DE,227
65+,High,None,DE,212
65+,Medium,Limited,C1,181
65+,Low,Limited,AB,145
25-34,Medium,Limited,C1,140
25-34,High,Limited,DE,134
35-44,High,Limited,DE,132
35-44,Medium,Limited,C2,121
65+,Medium,Limited,C2,120
25-34,Medium,Limited,C2,114
45-54,High,Limited,DE,108
45-54,Low,Limited,AB,106
16-24,High,Limited,DE,106
16-24,Medium,Limited,C2,105
25-34,Low,Limited,AB,104
45-54,Medium,Limited,C2,100
35-44,Low,Limited,AB,99
35-44,Medium,Limited,C1,98
45-54,Medium,Limited,C1,96
55-64,High,Limited,DE,95
55-64,Medium,Limited,C1,92
55-64,Low,Limited,AB,88
16-24,Medium,Limited,C1,87
55-64,Medium,Limited,C2,78
65+,Medium,None,C2,73
65+,Medium,Limited,AB,69
35-44,Low,Limited,C1,58
65+,Medium,None,C1,57
25-34,Low,Limited,C1,54
65+,High,Limited,C2,48
45-54,Low,Limited,C1,42
65+,High,Limited,C1,42
16-24,Low,Limited,AB,42
65+,High,None,C2,40
55-64,High,None,DE,32
25-34,Medium,Limited,DE,31
35-44,Low,Limited,C2,30
35-44,Medium,Limited,DE,27
55-64,Low,Limited,C1,26
65+,Low,None,AB,25
55-64,Medium,Limited,DE,25
25-34,Low,Limited,C2,24
45-54,Medium,Limited,DE,24
55-64,Medium,Limited,AB,23
45-54,Low,Limited,C2,22
65+,High,None,C1,21
65+,High,Limited,AB,21
65+,Medium,Limited,DE,20
25-34,High,Limited,C2,20
45-54,High,None,DE,19
65+,Low,Limited,C1,18
16-24,High,Limited,C1,15
16-24,Low,Limited,C1,15
45-54,High,Limited,C2,15
35-44,Low,Limited,DE,14
16-24,Medium,Limited,DE,13
16-24,Medium,Full,C1,13
25-34,Medium,Limited,AB,13
25-34,Low,Limited,DE,12
35-44,High,Limited,C1,12
55-64,Low,Limited,C2,11
35-44,Medium,Limited,AB,11
55-64,High,Limited,C2,11
45-54,Low,Full,AB,11
65+,Medium,None,DE,11
35-44,Low,Full,AB,11
35-44,High,Limited,C2,10
45-54,High,Limited,C1,10
45-54,Medium,Limited,AB,10
25-34,High,Limited,C1,8
25-34,Low,Full,C1,8
16-24,Low,Limited,C2,8
35-44,Medium,Full,C1,7
45-54,Medium,Full,C1,7
65+,High,None,AB,7
16-24,High,Full,DE,7
55-64,High,Limited,C1,7
55-64,High,Limited,AB,7
65+,Low,Limited,C2,6
45-54,Low,Full,C1,6
16-24,Low,Limited,DE,6
16-24,Medium,Limited,AB,6
55-64,Medium,None,C2,6
55-64,Low,Limited,DE,5
16-24,Low,Full,AB,5
45-54,Medium,None,C1,5
65+,Medium,None,AB,5
55-64,High,None,C2,4
16-24,High,Limited,C2,4
16-24,Medium,Full,C2,4
55-64,Medium,None,C1,4
45-54,Low,Full,C2,4
25-34,Medium,Full,AB,4
25-34,Medium,Full,C1,4
35-44,Low,Full,C1,4
55-64,Medium,None,DE,4
45-54,Medium,Full,DE,3
65+,Low,Limited,DE,3
45-54,Medium,Full,AB,3
45-54,Low,Limited,DE,3
35-44,Medium,Full,DE,3
55-64,Medium,Full,C1,3
25-34,Low,Full,C2,3
35-44,Medium,None,C2,3
35-44,High,None,DE,3
65+,Low,Full,AB,2
45-54,High,Limited,AB,2
35-44,Low,Full,C2,2
25-34,High,Full,C2,2
25-34,Medium,Full,DE,2
25-34,Low,Full,DE,2
25-34,Low,Full,AB,2
25-34,High,None,DE,2
25-34,High,Limited,AB,2
35-44,Medium,Full,C2,2
25-34,High,Full,DE,2
35-44,High,Full,DE,2
55-64,High,Full,DE,2
55-64,Low,Full,AB,2
55-64,Low,Full,C1,2
16-24,Medium,None,C2,1
25-34,High,Full,C1,1
35-44,High,Full,C1,1
16-24,Medium,None,C1,1
16-24,Medium,Full,DE,1
16-24,Low,Full,DE,1
16-24,Low,Full,C2,1
16-24,High,None,DE,1
25-34,Medium,Full,C2,1
25-34,Medium,None,C1,1
65+,Medium,Full,C2,1
55-64,Low,Full,C2,1
35-44,High,Limited,AB,1
55-64,Low,Full,DE,1
45-54,Medium,None,DE,1
55-64,Low,None,AB,1
55-64,Low,None,C1,1
55-64,Medium,Full,AB,1
45-54,Medium,None,C2,1
55-64,Medium,Full,C2,1
45-54,Medium,Full,C2,1
45-54,High,Full,DE,1
45-54,High,Full,C1,1
35-44,Medium,None,C1,1
35-44,Medium,Full,AB,1
35-44,Low,None,AB,1
65+,High,Full,C1,1
65+,High,Full,C2,1
35-44,Low,Full,DE,1
16-24,High,Full,C1,1
